Tue May 12 22:02:11 +0000 2015,@russwest44 #okcthunder https://t.co/XynfDchdoh
Sun May 10 00:25:35 +0000 2015,As an avid #OKCThunder fan I never thought I would hear my self say this but Go Memphis ! #NBAPlayoffs #MemphisGrizzlies #OKCThunderFan
Sun May 10 00:09:15 +0000 2015,Russell Westbrook made an appearance at UCO graduation.  #okcthunder⚡️ https://t.co/LrM9cDoyYl
Sat May 09 23:54:32 +0000 2015,Russell Westbrook was at my brothers graduation for a family members graduation from uco. #okcthunder
Sat May 09 23:35:50 +0000 2015,RT @ThunderObsessed: #OKCThunder officially announce purchase of a land we saw them secure last season http://t.co/POP7zbZx7r http://t.co/…
Sat May 09 23:33:04 +0000 2015,#OKCThunder officially announce purchase of a land we saw them secure last season http://t.co/POP7zbZx7r http://t.co/axygmGSmWf
Sat May 09 22:07:58 +0000 2015,I also think about the team you said would be playing them in the finals. #OKCThunder right? What happened to them? *bird call* @tiepod
Sat May 09 18:56:16 +0000 2015,How To Raise A Pro Athlete From Their Moms #OKC #OKCThunder http://t.co/z1NgKhodbT http://t.co/YQnbt0rZWK
Sat May 09 15:36:09 +0000 2015,#okcthunder #ThunderUp #forum #nba NBA 2015 Draft Lottery: Pick Thunder GM's brain... http://t.co/a9VTfp3XN6
Sat May 09 13:55:26 +0000 2015,My new @KDTrey5 basketball shorts! #nikebasketball #nba #nike #kevindurant #OKCThunder @nikebasketball @NBAcom http://t.co/5Xboc8XKOt
Sat May 09 10:28:48 +0000 2015,#nba2k15 #mycareer #okcthunder #ps3 #videogame https://t.co/YZ0CXJjHKY
Sat May 09 07:00:57 +0000 2015,Classic Thunder trash-talking moments #OKC #OKCThunder http://t.co/2MZFktz4hh http://t.co/EcGKWjmi1W
Sat May 09 07:00:47 +0000 2015,Did Sam Presti consult Kevin Durant before hiring Billy Donovan? #OKC #OKCThunder http://t.co/xSB0lx1vqI http://t.co/AYZ33hYzlB
